
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.740
  alpha =   -2.812    CLtot =    0.305
  beta  =    0.000

  Sref  =    93.15820
  Bref  =    28.08000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.151072         0.302445E-01
    0.0333  0.143680         0.277882E-01
    0.1000  0.128985         0.232438E-01
    0.1667  0.114605         0.191840E-01
    0.2333  0.100768         0.155944E-01
    0.3000  0.876387E-01     0.124543E-01
    0.3667  0.753556E-01     0.973775E-02
    0.4375  0.632556E-01     0.728318E-02
    0.5125  0.513237E-01     0.513482E-02
    0.5875  0.402192E-01     0.341839E-02
    0.6625  0.300517E-01     0.210081E-02
    0.7375  0.209304E-01     0.114489E-02
    0.8125  0.129648E-01     0.509357E-03
    0.8875  0.628112E-02     0.148497E-03
    0.9625  0.109246E-02     0.102418E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.151072        -0.302445E-01
   -0.0333  0.143680        -0.277882E-01
   -0.1000  0.128985        -0.232438E-01
   -0.1667  0.114605        -0.191840E-01
   -0.2333  0.100768        -0.155944E-01
   -0.3000  0.876387E-01    -0.124543E-01
   -0.3667  0.753556E-01    -0.973775E-02
   -0.4375  0.632556E-01    -0.728318E-02
   -0.5125  0.513237E-01    -0.513482E-02
   -0.5875  0.402192E-01    -0.341839E-02
   -0.6625  0.300517E-01    -0.210081E-02
   -0.7375  0.209304E-01    -0.114489E-02
   -0.8125  0.129648E-01    -0.509357E-03
   -0.8875  0.628112E-02    -0.148497E-03
   -0.9625  0.109246E-02    -0.102418E-04
   -1.0000   0.00000          0.00000    
