 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     MainWing                                
     # Chordwise =  8   # Spanwise = 14     First strip =  1
     Surface area =   46.579105       Ave. chord =    3.317600
     CLsurf  =   0.15248     Clsurf  =  -0.03074
     CYsurf  =  -0.00109     Cmsurf  =  -0.33594
     CDsurf  =   0.00165     Cnsurf  =   0.00192
     CDisurf =   0.00165     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.30496     CDsurf  =   0.00331
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.4680   5.6067   5.2478   1.4721   0.0366   0.3063   0.2633   0.0090   0.0000  -0.2243  -0.2586    1.102
     2   1.4040   5.2200   4.8859   1.4544   0.0371   0.3248   0.2792   0.0059   0.0000  -0.2317  -0.2688    1.080
     3   2.3400   4.8333   4.5240   1.4094   0.0336   0.3399   0.2922   0.0044   0.0000  -0.2339  -0.2736    1.050
     4   3.2760   4.4467   4.1621   1.3461   0.0296   0.3528   0.3033   0.0035   0.0000  -0.2324  -0.2748    1.016
     5   4.2120   4.0600   3.8002   1.2686   0.0251   0.3641   0.3130   0.0031   0.0000  -0.2280  -0.2730    0.979
     6   5.1480   3.6733   3.4382   1.1777   0.0176   0.3736   0.3211   0.0031   0.0000  -0.2212  -0.2688    0.939
     7   6.1425   3.3495   3.5270   1.0904   0.0128   0.3739   0.3261   0.0026   0.0000  -0.2118  -0.2679    0.900
     8   7.1955   3.0885   3.2522   1.0220   0.0160   0.3801   0.3314   0.0020   0.0000  -0.2056  -0.2634    0.870
     9   8.2485   2.8275   2.9774   0.9439   0.0158   0.3834   0.3343   0.0015   0.0000  -0.2001  -0.2591    0.849
    10   9.3015   2.5665   2.7025   0.8561   0.0146   0.3831   0.3340   0.0009   0.0000  -0.1944  -0.2537    0.832
    11  10.3545   2.3055   2.4277   0.7588   0.0133   0.3779   0.3295   0.0003   0.0000  -0.1876  -0.2466    0.819
    12  11.4075   2.0445   2.1529   0.6515   0.0121   0.3659   0.3190  -0.0002   0.0000  -0.1792  -0.2364    0.812
    13  12.4605   1.7835   1.8780   0.5318   0.0127   0.3424   0.2985  -0.0006   0.0000  -0.1676  -0.2212    0.811
    14  13.5135   1.5225   1.6032   0.3868   0.0239   0.2917   0.2544  -0.0005   0.0000  -0.1476  -0.1929    0.830

  Surface # 2     MainWing (YDUP)                         
     # Chordwise =  8   # Spanwise = 14     First strip = 15
     Surface area =   46.579105       Ave. chord =    3.317600
     CLsurf  =   0.15248     Clsurf  =   0.03074
     CYsurf  =   0.00109     Cmsurf  =  -0.33594
     CDsurf  =   0.00165     Cnsurf  =  -0.00192
     CDisurf =   0.00165     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.30496     CDsurf  =   0.00331
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    15  -0.4680   5.6067   5.2478   1.4721   0.0366   0.3063   0.2633   0.0090   0.0000  -0.2243   0.2586    1.102
    16  -1.4040   5.2200   4.8859   1.4544   0.0371   0.3248   0.2792   0.0059   0.0000  -0.2317   0.2688    1.080
    17  -2.3400   4.8333   4.5240   1.4094   0.0336   0.3399   0.2922   0.0044   0.0000  -0.2339   0.2736    1.050
    18  -3.2760   4.4467   4.1621   1.3461   0.0296   0.3528   0.3033   0.0035   0.0000  -0.2324   0.2748    1.016
    19  -4.2120   4.0600   3.8002   1.2686   0.0251   0.3641   0.3130   0.0031   0.0000  -0.2280   0.2730    0.979
    20  -5.1480   3.6733   3.4382   1.1777   0.0176   0.3736   0.3211   0.0031   0.0000  -0.2212   0.2688    0.939
    21  -6.1425   3.3495   3.5270   1.0904   0.0128   0.3739   0.3261   0.0026   0.0000  -0.2118   0.2679    0.900
    22  -7.1955   3.0885   3.2522   1.0220   0.0160   0.3801   0.3314   0.0020   0.0000  -0.2056   0.2634    0.870
    23  -8.2485   2.8275   2.9774   0.9439   0.0158   0.3834   0.3343   0.0015   0.0000  -0.2001   0.2591    0.849
    24  -9.3015   2.5665   2.7025   0.8561   0.0146   0.3831   0.3340   0.0009   0.0000  -0.1944   0.2537    0.832
    25 -10.3545   2.3055   2.4277   0.7588   0.0133   0.3779   0.3295   0.0003   0.0000  -0.1876   0.2466    0.819
    26 -11.4075   2.0445   2.1529   0.6515   0.0121   0.3659   0.3190  -0.0002   0.0000  -0.1792   0.2364    0.812
    27 -12.4605   1.7835   1.8780   0.5318   0.0127   0.3424   0.2985  -0.0006   0.0000  -0.1676   0.2212    0.811
    28 -13.5135   1.5225   1.6032   0.3868   0.0239   0.2917   0.2544  -0.0005   0.0000  -0.1476   0.1929    0.830
 ---------------------------------------------------------------
